Driver,Qualifying_Time,Race_Time,Weather_AirTemp,Weather_TrackTemp,Weather_Humidity,Weather_WindSpeed,Weather_Rainfall,Weather_Pressure,team,FP1_total_time,Year,EventName
ALB,93.67,116.94,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,102.558,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,101.723,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,101.904,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,101.899,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,101.919,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,130.241,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,140.221,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,99.343,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,99.569,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.05,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.001,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.398,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.683,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.56,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.901,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,101.595,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,101.877,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,101.773,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,101.369,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,101.608,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,101.328,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.601,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.891,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.678,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,101.066,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.435,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.263,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.167,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.086,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.511,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.155,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.255,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
ALB,93.67,100.248,28.267532467532465,45.0448051948052,22.532467532467532,2.0824675324675326,0.0,1001.1077922077924,Williams,121.027247,2025,United States Grand Prix
