Driver,Qualifying_Time,Race_Time,Weather_AirTemp,Weather_TrackTemp,Weather_Humidity,Weather_WindSpeed,Weather_Rainfall,Weather_Pressure,team,FP1_total_time,FP2_total_time,FP3_total_time,Year,EventName
ALB,69.652,84.528,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,77.145,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.823,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.89,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,77.083,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.633,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.57,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.641,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.511,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.635,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.61,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.614,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.592,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.933,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.756,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.553,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.588,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.528,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.665,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.704,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.7,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.513,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,101.701,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,117.166,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,93.476,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,110.623,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.628,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,75.777,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,75.449,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,75.244,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,87.074,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,86.462,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,75.424,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,76.715,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,75.872,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,75.472,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,75.722,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,75.623,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,75.639,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,75.28,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,75.779,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
ALB,69.652,75.697,20.077358490566034,27.96352201257861,71.17610062893081,2.170440251572327,0.0,1006.2056603773585,Williams,93.524535,97.751098,95.743753,2025,Dutch Grand Prix
