Driver,Qualifying_Time,Race_Time,Weather_AirTemp,Weather_TrackTemp,Weather_Humidity,Weather_WindSpeed,Weather_Rainfall,Weather_Pressure,team,FP1_total_time,Year,EventName,FP2_total_time,FP3_total_time
ALB,91.503,105.273,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,99.443,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,99.095,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,99.046,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,98.546,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,99.123,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,99.091,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,99.34,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,99.523,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,99.11,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,99.0,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,98.876,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,98.311,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,98.46,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,98.689,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,98.504,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,99.199,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,98.941,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,98.977,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,104.708,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,118.149,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,97.285,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,97.647,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,97.772,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,97.774,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,98.2,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,98.136,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,98.59,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,98.071,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,97.854,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,97.823,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
ALB,91.503,97.916,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,0.0,1010.4227272727275,Williams,117.409983,2025,Chinese Grand Prix,,
