driver_number,driver,year,event,team,FP1_air_temp,FP1_humidity,FP1_rainfall,FP1_pressure,FP1_wind_speed,FP1_wind_direction,FP1_track_temp,FP1_total_time,FP2_air_temp,FP2_humidity,FP2_rainfall,FP2_pressure,FP2_wind_speed,FP2_wind_direction,FP2_track_temp,FP2_total_time,FP3_air_temp,FP3_humidity,FP3_rainfall,FP3_pressure,FP3_wind_speed,FP3_wind_direction,FP3_track_temp,FP3_total_time,Q_air_temp,Q_humidity,Q_rainfall,Q_pressure,Q_wind_speed,Q_wind_direction,Q_track_temp,Q_total_time,R_air_temp,R_humidity,R_rainfall,R_pressure,R_wind_speed,R_wind_direction,R_track_temp,R_total_time,race_position
1,VER,2025,Australia Grand Prix,Red Bull Racing,24.403703703703705,47.876543209876544,0.0,1018.1469135802469,0.862962962962963,132.90123456790124,42.07654320987654,104.157015,23.760493827160495,65.09876543209876,0.0,1016.9987654320988,1.2271604938271603,121.1358024691358,41.1320987654321,100.398777,29.492307692307694,50.14102564102564,0.0,1013.3782051282051,0.7717948717948718,138.02564102564102,40.80128205128205,109.207585,30.336000000000002,46.14666666666667,0.0,1009.376,0.772,159.6,40.50133333333333,94.80847,15.707865168539326,78.42134831460675,0.3258426966292135,1009.9016853932583,3.475280898876404,242.2865168539326,18.942134831460674,107.378729,2
4,NOR,2025,Australia Grand Prix,McLaren,24.403703703703705,47.876543209876544,0.0,1018.1469135802469,0.862962962962963,132.90123456790124,42.07654320987654,103.613507,23.760493827160495,65.09876543209876,0.0,1016.9987654320988,1.2271604938271603,121.1358024691358,41.1320987654321,98.807507,29.492307692307694,50.14102564102564,0.0,1013.3782051282051,0.7717948717948718,138.02564102564102,40.80128205128205,108.397392,30.336000000000002,46.14666666666667,0.0,1009.376,0.772,159.6,40.50133333333333,98.074042,15.707865168539326,78.42134831460675,0.3258426966292135,1009.9016853932583,3.475280898876404,242.2865168539326,18.942134831460674,107.391512,1
5,BOR,2025,Australia Grand Prix,Kick Sauber,24.403703703703705,47.876543209876544,0.0,1018.1469135802469,0.862962962962963,132.90123456790124,42.07654320987654,111.213196,23.760493827160495,65.09876543209876,0.0,1016.9987654320988,1.2271604938271603,121.1358024691358,41.1320987654321,102.184047,29.492307692307694,50.14102564102564,0.0,1013.3782051282051,0.7717948717948718,138.02564102564102,40.80128205128205,112.398633,30.336000000000002,46.14666666666667,0.0,1009.376,0.772,159.6,40.50133333333333,103.647504,15.707865168539326,78.42134831460675,0.3258426966292135,1009.9016853932583,3.475280898876404,242.2865168539326,18.942134831460674,107.591917,R
6,HAD,2025,Australia Grand Prix,Racing Bulls,24.403703703703705,47.876543209876544,0.0,1018.1469135802469,0.862962962962963,132.90123456790124,42.07654320987654,103.051063,23.760493827160495,65.09876543209876,0.0,1016.9987654320988,1.2271604938271603,121.1358024691358,41.1320987654321,100.225237,29.492307692307694,50.14102564102564,0.0,1013.3782051282051,0.7717948717948718,138.02564102564102,40.80128205128205,108.71865,30.336000000000002,46.14666666666667,0.0,1009.376,0.772,159.6,40.50133333333333,100.048166,15.707865168539326,78.42134831460675,0.3258426966292135,1009.9016853932583,3.475280898876404,242.2865168539326,18.942134831460674,0.0,R
7,DOO,2025,Australia Grand Prix,Alpine,24.403703703703705,47.876543209876544,0.0,1018.1469135802469,0.862962962962963,132.90123456790124,42.07654320987654,105.440127,23.760493827160495,65.09876543209876,0.0,1016.9987654320988,1.2271604938271603,121.1358024691358,41.1320987654321,97.159425,29.492307692307694,50.14102564102564,0.0,1013.3782051282051,0.7717948717948718,138.02564102564102,40.80128205128205,116.110055,30.336000000000002,46.14666666666667,0.0,1009.376,0.772,159.6,40.50133333333333,100.535957,15.707865168539326,78.42134831460675,0.3258426966292135,1009.9016853932583,3.475280898876404,242.2865168539326,18.942134831460674,0.0,R
10,GAS,2025,Australia Grand Prix,Alpine,24.403703703703705,47.876543209876544,0.0,1018.1469135802469,0.862962962962963,132.90123456790124,42.07654320987654,100.709515,23.760493827160495,65.09876543209876,0.0,1016.9987654320988,1.2271604938271603,121.1358024691358,41.1320987654321,98.859066,29.492307692307694,50.14102564102564,0.0,1013.3782051282051,0.7717948717948718,138.02564102564102,40.80128205128205,113.662822,30.336000000000002,46.14666666666667,0.0,1009.376,0.772,159.6,40.50133333333333,98.668016,15.707865168539326,78.42134831460675,0.3258426966292135,1009.9016853932583,3.475280898876404,242.2865168539326,18.942134831460674,107.764177,11
12,ANT,2025,Australia Grand Prix,Mercedes,24.403703703703705,47.876543209876544,0.0,1018.1469135802469,0.862962962962963,132.90123456790124,42.07654320987654,102.401299,23.760493827160495,65.09876543209876,0.0,1016.9987654320988,1.2271604938271603,121.1358024691358,41.1320987654321,100.069041,29.492307692307694,50.14102564102564,0.0,1013.3782051282051,0.7717948717948718,138.02564102564102,40.80128205128205,103.367126,30.336000000000002,46.14666666666667,0.0,1009.376,0.772,159.6,40.50133333333333,96.97973,15.707865168539326,78.42134831460675,0.3258426966292135,1009.9016853932583,3.475280898876404,242.2865168539326,18.942134831460674,107.41534300000001,4
14,ALO,2025,Australia Grand Prix,Aston Martin,24.403703703703705,47.876543209876544,0.0,1018.1469135802469,0.862962962962963,132.90123456790124,42.07654320987654,94.73208,23.760493827160495,65.09876543209876,0.0,1016.9987654320988,1.2271604938271603,121.1358024691358,41.1320987654321,93.123291,29.492307692307694,50.14102564102564,0.0,1013.3782051282051,0.7717948717948718,138.02564102564102,40.80128205128205,102.128944,30.336000000000002,46.14666666666667,0.0,1009.376,0.772,159.6,40.50133333333333,98.904134,15.707865168539326,78.42134831460675,0.3258426966292135,1009.9016853932583,3.475280898876404,242.2865168539326,18.942134831460674,104.141183,R
16,LEC,2025,Australia Grand Prix,Ferrari,24.403703703703705,47.876543209876544,0.0,1018.1469135802469,0.862962962962963,132.90123456790124,42.07654320987654,102.391523,23.760493827160495,65.09876543209876,0.0,1016.9987654320988,1.2271604938271603,121.1358024691358,41.1320987654321,98.113974,29.492307692307694,50.14102564102564,0.0,1013.3782051282051,0.7717948717948718,138.02564102564102,40.80128205128205,116.384202,30.336000000000002,46.14666666666667,0.0,1009.376,0.772,159.6,40.50133333333333,97.824023,15.707865168539326,78.42134831460675,0.3258426966292135,1009.9016853932583,3.475280898876404,242.2865168539326,18.942134831460674,107.672998,8
18,STR,2025,Australia Grand Prix,Aston Martin,24.403703703703705,47.876543209876544,0.0,1018.1469135802469,0.862962962962963,132.90123456790124,42.07654320987654,105.872926,23.760493827160495,65.09876543209876,0.0,1016.9987654320988,1.2271604938271603,121.1358024691358,41.1320987654321,93.753863,29.492307692307694,50.14102564102564,0.0,1013.3782051282051,0.7717948717948718,138.02564102564102,40.80128205128205,102.945878,30.336000000000002,46.14666666666667,0.0,1009.376,0.772,159.6,40.50133333333333,95.810499,15.707865168539326,78.42134831460675,0.3258426966292135,1009.9016853932583,3.475280898876404,242.2865168539326,18.942134831460674,107.56614,6
