Driver,Qualifying_Time,Race_Time,Weather_AirTemp,Weather_TrackTemp,Weather_Humidity,Weather_WindSpeed,Weather_Rainfall,Weather_Pressure,team,FP1_total_time,FP2_total_time,FP3_total_time,Year,EventName
ALB,79.583,92.851,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,85.762,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,85.238,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,85.427,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.598,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.743,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.736,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.553,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.647,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.453,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.514,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.559,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.413,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.212,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.431,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.499,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.422,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.738,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.251,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,84.239,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,83.815,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,83.738,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,83.781,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,83.867,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,83.726,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,83.246,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,83.723,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,83.349,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,83.229,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,83.129,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,83.005,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,83.149,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,82.995,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,82.906,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,82.497,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,82.609,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,82.729,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,82.658,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,82.673,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,82.574,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,86.328,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,102.767,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,81.899,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,82.126,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,82.034,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
ALB,79.583,81.745,26.76111111111111,43.28819444444444,42.604166666666664,1.9604166666666663,0.0,996.7527777777775,Williams,,102.370441,110.286184,2025,Italian Grand Prix
